id,name,picture_url,genre1_id,genre1_name,genre2_id,genre2_name,genre3_id,genre3_name,genre4_id,genre4_name,genre5_id,genre5_name,genre6_id,genre6_name,genre7_id,genre7_name,genre8_id,genre8_name
1,"Cowboy Bebop",https://cdn.myanimelist.net/images/anime/4/19,1,Action,50,"Adult Cast",46,"Award Winning",24,Sci-Fi,29,Space,0,blank,0,blank,0,"blank"
5,"Cowboy Bebop: Tengoku no Tobira",https://cdn.myanimelist.net/images/anime/1439,1,Action,50,"Adult Cast",24,Sci-Fi,29,Space,0,blank,0,blank,0,blank,0,"blank"
6,Trigun,https://cdn.myanimelist.net/images/anime/7/20,1,Action,50,"Adult Cast",2,Adventure,24,Sci-Fi,27,Shounen,0,blank,0,blank,0,"blank"
7,"Witch Hunter Robin",https://cdn.myanimelist.net/images/anime/10/1,1,Action,39,Detective,8,Drama,7,Mystery,37,Supernatural,0,blank,0,blank,0,"blank"
8,"Bouken Ou Beet",https://cdn.myanimelist.net/images/anime/7/21,1,Action,2,Adventure,10,Fantasy,27,Shounen,0,blank,0,blank,0,blank,0,"blank"
15,"Eyeshield 21",https://cdn.myanimelist.net/images/anime/1079,27,Shounen,30,Sports,77,"Team Sports",0,blank,0,blank,0,blank,0,blank,0,"blank"
16,"Hachimitsu to Clover",https://cdn.myanimelist.net/images/anime/1301,50,"Adult Cast",4,Comedy,8,Drama,43,Josei,64,"Love Polygon",22,Romance,80,"Visual Arts",0,"blank"
17,"Hungry Heart: Wild Striker",https://cdn.myanimelist.net/images/anime/12/4,4,Comedy,27,Shounen,36,"Slice of Life",30,Sports,77,"Team Sports",0,blank,0,blank,0,"blank"
18,"Initial D Fourth Stage",https://cdn.myanimelist.net/images/anime/9/10,1,Action,8,Drama,3,Racing,42,Seinen,0,blank,0,blank,0,blank,0,"blank"
19,Monster,https://cdn.myanimelist.net/images/anime/10/1,50,"Adult Cast",8,Drama,7,Mystery,40,Psychological,42,Seinen,41,Suspense,0,blank,0,"blank"
20,Naruto,https://cdn.myanimelist.net/images/anime/13/1,1,Action,2,Adventure,10,Fantasy,17,"Martial Arts",27,Shounen,0,blank,0,blank,0,"blank"
